EXTRAGERI,,,,,,,CATEGORIA I,,,CATEGORIA II,,,CATEGORIA III,,,CATEGORIA IV,,
"Du, 5 iulie 2015",27,4,47,15,10,41,REPORT,"434.044,20","10.347.989,24",13,"16.694,00","0,00",558,"388,92","0,00",10.505,"30,00","0,00"
"Jo, 2 iulie 2015",36,30,20,4,5,10,REPORT,"201.964,08","9.913.945,04",7,"14.426,00","0,00",326,"309,76","0,00",5.742,"30,00","0,00"
"Du, 28 iunie 2015",38,6,36,22,48,47,REPORT,"470.647,44","9.711.980,96",9,"26.147,08","0,00",450,"522,94","0,00",9.474,"30,00","0,00"
"Jo, 25 iunie 2015",18,37,8,43,26,45,REPORT,"213.119,52","9.241.333,52",5,"21.311,95","0,00",242,"440,32","0,00",4.772,"30,00","0,00"
"Du, 21 iunie 2015",11,34,1,7,37,18,REPORT,"420.955,08","9.028.214,00",11,"19.134,32","0,00",608,"346,18","0,00",11.397,"30,00","0,00"
"Jo, 18 iunie 2015",38,37,1,33,41,15,REPORT,"233.292,48","8.607.258,92",9,"12.960,69","0,00",218,"535,07","0,00",3.92,"30,00","0,00"
"Du, 14 iunie 2015",28,23,24,45,10,37,REPORT,"406.092,60","8.373.966,44",9,"22.560,70","0,00",625,"324,87","0,00",11.443,"30,00","0,00"
"Jo, 11 iunie 2015",32,17,46,5,48,33,REPORT,"195.061,92","7.967.873,84",2,"48.765,48","0,00",198,"492,58","0,00",4.148,"30,00","0,00"
"Du, 7 iunie 2015",47,30,45,37,12,17,REPORT,"414.426,60","7.772.811,92",3,"69.071,10","0,00",452,"458,43","0,00",8.889,"30,00","0,00"
"Jo, 4 iunie 2015",24,38,26,28,7,17,REPORT,"139.507,92","7.358.385,32",6,"11.625,66","0,00",389,"179,31","0,00",6.138,"30,00","0,00"
"Du, 31 mai 2015",14,35,29,8,23,21,REPORT,"354.976,20","7.218.877,40",25,"7.099,52","0,00",801,"221,58","0,00",12.309,"30,00","0,00"
"Jo, 28 mai 2015",46,41,12,44,39,22,REPORT,"191.941,68","6.863.901,20",1,"95.970,84","0,00",184,"521,58","0,00",3.934,"30,00","0,00"
"Du, 24 mai 2015",32,25,45,43,40,2,REPORT,"428.502,36","6.671.959,52",3,"71.417,06","0,00",300,"714,17","0,00",6.687,"30,00","0,00"
"Jo, 21 mai 2015",34,1,17,10,39,18,REPORT,"217.958,76","6.243.457,16",5,"21.795,87","0,00",237,"459,82","0,00",4.321,"30,00","0,00"
"Du, 17 mai 2015",16,19,48,25,32,10,REPORT,"418.250,64","6.025.498,40",9,"23.236,14","0,00",570,"366,88","0,00",10.674,"30,00","0,00"
"Jo, 14 mai 2015",30,21,38,33,8,11,REPORT,"183.515,28","5.607.247,76",7,"13.108,23","0,00",250,"367,03","0,00",4.834,"30,00","0,00"
"Du, 10 mai 2015",4,25,6,17,48,14,REPORT,"366.010,44","5.423.732,48",6,"30.500,87","0,00",587,"311,76","0,00",10.821,"30,00","0,00"
"Jo, 7 mai 2015",3,48,14,47,9,16,REPORT,"170.509,68","5.057.722,04",6,"14.209,14","0,00",245,"347,97","0,00",4.542,"30,00","0,00"
"Du, 3 mai 2015",45,8,5,37,19,1,REPORT,"353.699,16","4.887.212,36",8,"22.106,19","0,00",605,"292,31","0,00",10.407,"30,00","0,00"
"Jo, 30 aprilie 2015",43,19,27,11,14,46,REPORT,"172.336,80","4.533.513,20",5,"17.233,68","0,00",278,"309,95","0,00",4.9,"30,00","0,00"
"Du, 26 aprilie 2015",46,29,30,1,10,2,REPORT,"386.202,48","4.361.176,40",6,"32.183,54","0,00",355,"543,94","0,00",7.766,"30,00","0,00"
"Jo, 23 aprilie 2015",1,18,10,30,17,44,REPORT,"197.405,16","3.974.973,92",5,"19.740,51","0,00",237,"416,46","0,00",4.209,"30,00","0,00"
"Du, 19 aprilie 2015",32,44,21,38,35,16,REPORT,"401.931,60","3.777.568,76",11,"18.269,61","0,00",420,"478,49","0,00",7.53,"30,00","0,00"
"Jo, 16 aprilie 2015",26,42,45,8,1,5,REPORT,"157.321,80","3.375.637,16",3,"26.220,30","0,00",160,"491,63","0,00",3.557,"30,00","0,00"
"Du, 12 aprilie 2015",15,44,16,19,31,23,REPORT,"371.064,00","2.539.826,36",6,"30.922,00","0,00",531,"349,40","0,00",9.315,"30,00","0,00"
"Du, 12 aprilie 2015",18,25,45,23,27,40,REPORT,"3.218.315,36","3.218.315,36",6,"31.540,75",,448,"422,42",,8.82,"30,00",
"Jo, 9 aprilie 2015",18,36,32,49,29,6,REPORT,"168.762,36","2.168.762,36",4,"21.095,29","0,00",256,"329,61","0,00",4.427,"30,00","0,00"
"Du, 5 aprilie 2015",33,5,30,44,4,27,1,"13.435.030,72","0,00",28,"9.200,71","0,00",914,"281,85","0,00",16.273,"30,00","0,00"
"Jo, 2 aprilie 2015",11,38,36,1,27,16,REPORT,"229.530,72","12.919.790,68",7,"16.395,05","0,00",268,"428,22","0,00",5.572,"30,00","0,00"
"Du, 29 martie 2015",22,10,4,6,18,9,REPORT,"434.672,88","12.690.259,96",19,"11.438,76","0,00",1.06,"205,03","0,00",16.806,"30,00","0,00"
"Jo, 26 martie 2015",2,45,27,4,38,48,REPORT,"253.173,84","12.255.587,08",5,"25.317,38","0,00",211,"599,93","0,00",4.962,"30,00","0,00"
"Du, 22 martie 2015",46,36,45,7,35,13,REPORT,"528.825,96","12.002.413,24",10,"26.441,29","0,00",651,"406,16","0,00",13.193,"30,00","0,00"
"Jo, 19 martie 2015",6,23,7,30,21,46,REPORT,"230.011,92","11.473.587,28",5,"23.001,19","0,00",386,"297,94","0,00",6.714,"30,00","0,00"
"Du, 15 martie 2015",43,17,34,35,47,3,REPORT,"563.126,88","11.243.575,36",19,"14.819,12","0,00",831,"338,82","0,00",13.692,"30,00","0,00"
"Jo, 12 martie 2015",16,1,47,25,26,15,REPORT,"231.684,72","10.680.448,48",1,"115.842,36","0,00",264,"438,79","0,00",5.198,"30,00","0,00"
"Du, 8 martie 2015",3,8,11,26,48,46,REPORT,"477.686,40","10.448.763,76",21,"11.373,48","0,00",903,"264,49","0,00",14.72,"30,00","0,00"
"Jo, 5 martie 2015",8,48,22,2,41,27,REPORT,"219.691,80","9.971.077,36",6,"18.307,65","0,00",269,"408,34","0,00",5.231,"30,00","0,00"
"Du, 1 martie 2015",9,46,34,11,18,35,REPORT,"0,00","9.143.067,56",6,"41.450,66","0,00",497,"500,41","0,00",10.493,"30,00","0,00"
"Du, 1 martie 2015",21,15,27,37,29,14,REPORT,"9.751.385,56","9.751.385,56",4,"57.289,75",,677,"338,49",,13.099,"30,00",
"Jo, 26 februarie 2015",46,25,42,23,26,16,REPORT,"236.958,60","8.645.659,56",1,"118.479,30","0,00",265,"447,09","0,00",5.773,"30,00","0,00"
"Du, 22 februarie 2015",40,18,7,29,33,14,REPORT,"496.948,44","8.408.700,96",13,"19.113,40","0,00",966,"257,21","0,00",14.735,"30,00","0,00"
"Jo, 19 februarie 2015",43,42,18,2,16,15,REPORT,"257.073,36","7.911.752,52",7,"18.362,38","0,00",281,"457,42","0,00",5.154,"30,00","0,00"
"Du, 15 februarie 2015",25,28,9,45,34,43,REPORT,"520.402,44","7.654.679,16",5,"52.040,24","0,00",667,"390,10","0,00",11.949,"30,00","0,00"
"Jo, 12 februarie 2015",9,25,5,35,40,33,REPORT,"214.954,20","7.134.276,72",6,"17.912,85","0,00",327,"328,67","0,00",5.759,"30,00","0,00"
"Du, 8 februarie 2015",19,29,5,34,41,2,REPORT,"453.690,84","6.919.322,52",8,"28.355,67","0,00",594,"381,89","0,00",11.127,"30,00","0,00"
"Jo, 5 februarie 2015",24,8,3,26,21,25,REPORT,"199.609,92","6.465.631,68",7,"14.257,85","0,00",370,"269,74","0,00",6.976,"30,00","0,00"
"Du, 1 februarie 2015",10,27,2,41,45,37,REPORT,"504.693,12","6.266.021,76",15,"16.823,10","0,00",637,"396,14","0,00",11.192,"30,00","0,00"
"Jo, 29 ianuarie 2015",13,28,46,35,44,39,REPORT,"234.774,36","5.761.328,64",7,"16.769,59","0,00",258,"454,98","0,00",5.615,"30,00","0,00"
"Du, 25 ianuarie 2015",35,5,16,25,36,9,REPORT,"447.459,48","5.526.554,28",12,"18.644,14","0,00",870,"257,16","0,00",15.167,"30,00","0,00"
"Jo, 22 ianuarie 2015",41,36,4,15,32,20,REPORT,"246.702,72","5.079.094,80",4,"30.837,84","0,00",224,"550,67","0,00",4.632,"30,00","0,00"
"Du, 18 ianuarie 2015",35,1,15,27,3,14,REPORT,"453.337,80","4.832.392,08",14,"16.190,63","0,00",787,"288,01","0,00",14.885,"30,00","0,00"
"Jo, 15 ianuarie 2015",25,23,45,18,11,36,REPORT,"210.668,88","4.379.054,28",9,"11.703,82","0,00",358,"294,23","0,00",6.37,"30,00","0,00"
"Du, 11 ianuarie 2015",45,16,3,9,34,13,REPORT,"435.032,40","4.168.385,40",16,"13.594,76","0,00",923,"235,66","0,00",15.234,"30,00","0,00"
"Ma, 30 decembrie 2014",22,16,47,34,48,20,REPORT,"1.733.353,00","1.733.353,00",8,"39.018,06",,545,"572,74",,10.433,"30,00",
"Ma, 30 decembrie 2014",39,36,47,6,1,3,REPORT,"0,00","609.064,00",14,"21.752,28","0,00",559,"544,77","0,00",11.448,"30,00","0,00"
"Du, 21 decembrie 2014",40,28,5,12,19,44,1,"43.810.458,68","0,00",50,"8.835,67","0,00",1.476,"299,31","0,00",25.739,"30,00","0,00"
"Jo, 18 decembrie 2014",2,24,39,16,4,10,REPORT,"444.470,28","42.926.890,88",13,"17.095,01","0,00",672,"330,70","0,00",12.181,"30,00","0,00"
"Du, 14 decembrie 2014",17,49,22,10,45,33,REPORT,"927.510,72","42.482.420,60",32,"14.492,35","0,00",1.299,"357,00","0,00",24.12,"30,00","0,00"
"Jo, 11 decembrie 2014",34,35,1,5,36,47,REPORT,"461.971,32","41.554.909,88",6,"38.497,61","0,00",286,"807,64","0,00",6.867,"30,00","0,00"
"Du, 7 decembrie 2014",47,6,28,36,1,20,REPORT,"937.765,68","41.092.938,56",18,"26.049,04","0,00",1.153,"406,66","0,00",21.662,"30,00","0,00"
"Jo, 4 decembrie 2014",46,29,35,44,2,4,REPORT,"392.448,24","40.155.172,88",6,"32.704,02","0,00",348,"563,86","0,00",8.07,"30,00","0,00"
"Du, 30 noiembrie 2014",12,34,17,16,20,15,REPORT,"942.193,80","39.762.724,64",9,"52.344,10","0,00",997,"472,51","0,00",21.349,"30,00","0,00"
"Jo, 27 noiembrie 2014",23,22,36,6,20,33,REPORT,"372.770,04","38.820.530,84",4,"46.596,25","0,00",457,"407,84","0,00",10.027,"30,00","0,00"
"Du, 23 noiembrie 2014",2,11,32,34,38,28,REPORT,"906.006,00","38.447.760,80",13,"34.846,38","0,00",748,"605,61","0,00",17.478,"30,00","0,00"
"Jo, 20 noiembrie 2014",40,36,19,2,18,12,REPORT,"387.041,16","37.541.754,80",6,"32.253,43","0,00",467,"414,39","0,00",9.677,"30,00","0,00"
"Du, 16 noiembrie 2014",30,22,17,6,18,28,REPORT,"1.022.880,48","37.154.713,64",32,"15.982,50","0,00",1.524,"335,59","0,00",28.252,"30,00","0,00"
"Jo, 13 noiembrie 2014",30,42,23,16,8,39,REPORT,"398.605,92","36.131.833,16",12,"16.608,58","0,00",571,"349,04","0,00",8.58,"30,00","0,00"
"Du, 9 noiembrie 2014",4,36,6,46,32,44,REPORT,"901.117,92","35.733.227,24",11,"40.959,90","0,00",818,"550,80","0,00",16.876,"30,00","0,00"
"Jo, 6 noiembrie 2014",20,11,16,36,15,49,REPORT,"339.849,48","34.832.109,32",6,"28.320,79","0,00",400,"424,81","0,00",7.757,"30,00","0,00"
"Du, 2 noiembrie 2014",42,39,48,33,24,41,REPORT,"1.019.021,52","34.492.259,84",14,"36.393,62","0,00",647,"787,49","0,00",13.954,"30,00","0,00"
"Jo, 30 octombrie 2014",45,5,39,30,24,46,REPORT,"362.648,16","33.173.238,32",6,"30.220,68","0,00",349,"519,55","0,00",7.204,"30,00","0,00"
"Du, 26 octombrie 2014",33,26,49,22,12,2,REPORT,"711.783,84","32.810.590,16",28,"12.710,42","0,00",1.488,"239,17","0,00",23.684,"30,00","0,00"
"Jo, 23 octombrie 2014",28,47,38,31,9,40,REPORT,"372.244,80","32.098.806,32",3,"62.040,80","0,00",332,"560,60","0,00",6.224,"30,00","0,00"
"Du, 19 octombrie 2014",13,19,25,1,15,6,REPORT,"654.831,84","31.726.561,52",35,"9.354,74","0,00",2.044,"160,18","0,00",30.452,"30,00","0,00"
"Jo, 16 octombrie 2014",29,17,1,46,25,31,REPORT,"330.733,32","31.071.729,68",4,"41.341,66","0,00",418,"395,61","0,00",7.789,"30,00","0,00"
"Du, 12 octombrie 2014",23,49,17,45,32,24,REPORT,"714.387,48","30.740.996,36",12,"29.766,14","0,00",758,"471,23","0,00",15.471,"30,00","0,00"
"Jo, 9 octombrie 2014",41,5,48,43,21,32,REPORT,"319.263,96","30.026.608,88",5,"31.926,39","0,00",246,"648,91","0,00",5.135,"30,00","0,00"
"Du, 5 octombrie 2014",12,22,15,31,25,32,REPORT,"736.788,00","29.707.344,92",15,"24.559,60","0,00",758,"486,00","0,00",16.244,"30,00","0,00"
"Jo, 2 octombrie 2014",15,49,28,25,23,47,REPORT,"307.344,60","28.970.556,92",9,"17.074,70","0,00",367,"418,72","0,00",7.183,"30,00","0,00"
"Du, 28 septembrie 2014",11,24,19,4,41,20,REPORT,"703.400,88","28.663.212,32",23,"15.291,32","0,00",1.082,"325,04","0,00",19.726,"30,00","0,00"
"Jo, 25 septembrie 2014",25,23,38,46,27,5,REPORT,"299.285,88","27.959.811,44",12,"12.470,24","0,00",587,"254,92","0,00",9.475,"30,00","0,00"
"Du, 21 septembrie 2014",19,42,1,32,33,47,REPORT,"785.139,00","27.660.525,56",3,"130.856,50","0,00",559,"702,27","0,00",13.171,"30,00","0,00"
"Jo, 18 septembrie 2014",26,41,4,46,30,16,REPORT,"340.673,40","26.875.386,56",6,"28.389,45","0,00",405,"420,58","0,00",6.883,"30,00","0,00"
"Du, 14 septembrie 2014",19,44,22,23,12,32,REPORT,"26.534.713,16","26.534.713,16",21,"19.561,88",,1.095,"375,15",,20.473,"30,00",
"Du, 14 septembrie 2014",28,11,14,29,13,33,REPORT,"25.213.114,16","25.213.114,16",34,"9.815,13","0,00",1.687,"197,81","0,00",30.751,"30,00","0,00"
"Du, 7 septembrie 2014",28,3,22,45,39,26,REPORT,"718.500,72","24.545.685,16",20,"17.962,51","0,00",761,"472,07","0,00",15.318,"30,00","0,00"
"Jo, 4 septembrie 2014",8,22,48,27,21,16,REPORT,"315.448,44","23.827.184,44",3,"52.574,74","0,00",415,"380,05","0,00",7.995,"30,00","0,00"
"Du, 31 august 2014",40,33,29,27,13,39,REPORT,"704.383,68","23.511.736,00",27,"13.044,14","0,00",1.44,"244,57","0,00",23.592,"30,00","0,00"
"Jo, 28 august 2014",21,34,4,49,9,46,REPORT,"354.631,32","22.807.352,32",4,"44.328,91","0,00",390,"454,65","0,00",7.367,"30,00","0,00"
"Du, 24 august 2014",21,45,19,38,27,18,REPORT,"731.163,48","22.452.721,00",15,"24.372,11","0,00",874,"418,28","0,00",18.271,"30,00","0,00"
"Jo, 21 august 2014",40,32,45,24,48,26,REPORT,"368.859,48","21.721.557,52",3,"61.476,58","0,00",350,"526,94","0,00",6.087,"30,00","0,00"
"Du, 17 august 2014",15,1,35,17,11,21,REPORT,"690.510,48","21.352.698,04",17,"20.309,13","0,00",1.196,"288,67","0,00",21.146,"30,00","0,00"
"Jo, 14 august 2014",8,37,13,25,36,21,REPORT,"263.076,96","20.662.187,56",7,"18.791,21","0,00",625,"210,46","0,00",9.844,"30,00","0,00"
"Du, 10 august 2014",31,37,27,47,22,45,REPORT,"656.020,68","20.399.110,60",7,"46.858,62","0,00",556,"589,94","0,00",12.789,"30,00","0,00"
"Jo, 7 august 2014",23,3,13,25,19,32,REPORT,"239.171,40","19.743.089,92",8,"14.948,21","0,00",655,"182,57","0,00",10.133,"30,00","0,00"
"Du, 3 august 2014",4,29,47,1,30,43,REPORT,"654.209,40","19.503.918,52",12,"27.258,72","0,00",559,"585,16","0,00",11.995,"30,00","0,00"
"Jo, 31 iulie 2014",33,28,19,9,17,10,REPORT,"230.894,64","18.849.709,12",5,"23.089,46","0,00",534,"216,19","0,00",9.39,"30,00","0,00"
"Du, 27 iulie 2014",48,11,45,12,30,32,REPORT,"654.355,32","18.618.814,48",6,"54.529,61","0,00",425,"769,82","0,00",10.243,"30,00","0,00"
"Jo, 24 iulie 2014",20,34,15,7,3,17,REPORT,"224.005,80","17.964.459,16",8,"14.000,36","0,00",555,"201,80","0,00",8.737,"30,00","0,00"
"Du, 20 iulie 2014",5,12,38,2,14,48,REPORT,"565.844,88","17.740.453,36",8,"35.365,30","0,00",646,"437,96","0,00",13.338,"30,00","0,00"
"Jo, 17 iulie 2014",44,25,2,29,46,45,REPORT,"286.200,60","17.174.608,48",5,"28.620,06","0,00",277,"516,60","0,00",5.599,"30,00","0,00"
"Du, 13 iulie 2014",13,26,33,27,31,21,REPORT,"563.690,52","16.888.407,88",22,"12.811,14","0,00",1.039,"271,26","0,00",19.781,"30,00","0,00"
"Jo, 10 iulie 2014",30,34,11,40,33,19,REPORT,"252.228,96","16.224.717,36",1,"126.114,48","0,00",187,"674,40","0,00",4.564,"30,00","0,00"
"Du, 6 iulie 2014",39,11,21,13,47,30,REPORT,"539.708,76","15.972.488,40",10,"26.985,43","0,00",624,"432,45","0,00",13.007,"30,00","0,00"
"Jo, 3 iulie 2014",38,28,31,15,6,32,REPORT,"248.868,72","15.432.779,64",2,"62.217,18","0,00",288,"432,06","0,00",5.414,"30,00","0,00"
"Du, 29 iunie 2014",35,18,12,2,17,7,REPORT,"474.490,92","15.183.910,92",25,"9.489,81","0,00",1.064,"222,97","0,00",17.065,"30,00","0,00"
"Jo, 26 iunie 2014",25,10,44,27,31,11,REPORT,"247.794,84","14.709.420,00",8,"15.487,17","0,00",338,"366,56","0,00",6.207,"30,00","0,00"
"Du, 22 iunie 2014",24,11,14,44,41,16,REPORT,"595.525,80","14.461.625,16",10,"29.776,29","0,00",630,"472,63","0,00",12.897,"30,00","0,00"
"Jo, 19 iunie 2014",28,40,19,4,41,14,REPORT,"256.422,24","13.866.099,36",7,"18.315,87","0,00",308,"416,26","0,00",5.932,"30,00","0,00"
"Du, 15 iunie 2014",17,23,43,1,28,47,REPORT,"548.910,60","13.609.677,12",12,"22.871,27","0,00",734,"373,91","0,00",13.549,"30,00","0,00"
"Jo, 12 iunie 2014",49,21,17,32,34,11,REPORT,"224.286,24","13.060.766,52",3,"37.381,04","0,00",225,"498,41","0,00",4.58,"30,00","0,00"
"Du, 8 iunie 2014",2,22,30,5,41,27,REPORT,"504.859,92","12.836.480,28",11,"22.948,17","0,00",687,"367,43","0,00",12.682,"30,00","0,00"
"Jo, 5 iunie 2014",8,31,37,49,2,6,REPORT,"216.612,60","12.331.620,36",6,"18.051,05","0,00",299,"362,22","0,00",4.755,"30,00","0,00"
"Du, 1 iunie 2014",31,44,35,32,7,43,REPORT,"538.599,36","12.115.007,76",1,"269.299,68","0,00",306,"880,06","0,00",8.512,"30,00","0,00"
"Jo, 29 mai 2014",31,8,2,6,10,19,REPORT,"218.112,72","11.576.408,40",24,"4.544,01","0,00",453,"240,74","0,00",7.114,"30,00","0,00"
"Du, 25 mai 2014",43,33,3,44,29,37,REPORT,"507.793,44","11.358.295,68",10,"25.389,67","0,00",660,"384,69","0,00",12.876,"30,00","0,00"
"Jo, 22 mai 2014",13,33,40,9,12,36,REPORT,"213.399,96","10.850.502,24",31,"3.441,93","0,00",499,"213,82","0,00",7.055,"30,00","0,00"
"Du, 18 mai 2014",6,19,47,9,31,36,REPORT,"514.019,88","10.637.102,28",12,"21.417,49","0,00",668,"384,74","0,00",13.225,"30,00","0,00"
"Jo, 15 mai 2014",35,39,19,47,43,20,REPORT,"245.806,56","10.123.082,40",7,"17.557,61","0,00",233,"527,48","0,00",4.428,"30,00","0,00"
"Du, 11 mai 2014",37,43,6,46,17,7,REPORT,"482.520,36","9.877.275,84",10,"24.126,01","0,00",627,"384,78","0,00",12.633,"30,00","0,00"
"Jo, 8 mai 2014",41,14,48,8,6,49,REPORT,"219.395,52","9.394.755,48",12,"9.141,48","0,00",194,"565,45","0,00",4.072,"30,00","0,00"
"Du, 4 mai 2014",44,49,20,30,15,6,REPORT,"496.619,64","9.175.359,96",7,"35.472,83","0,00",543,"457,29","0,00",9.563,"30,00","0,00"
"Jo, 1 mai 2014",1,25,20,17,22,4,REPORT,"196.967,52","8.678.740,32",11,"8.953,06","0,00",478,"206,03","0,00",7.324,"30,00","0,00"
"Du, 27 aprilie 2014",28,38,23,15,35,3,REPORT,"459.440,76","8.481.772,80",32,"7.178,76","0,00",1.007,"228,12","0,00",14.219,"30,00","0,00"
"Jo, 24 aprilie 2014",18,46,11,41,5,10,REPORT,"198.763,92","8.022.332,04",5,"19.876,39","0,00",252,"394,37","0,00",4.834,"30,00","0,00"
"Du, 20 aprilie 2014",5,3,44,26,42,9,REPORT,"7.823.568,12","7.823.568,12",15,"20.080,90",,934,"322,49",,17.409,"30,00",
"Du, 20 aprilie 2014",3,45,26,40,47,32,REPORT,"6.921.141,12","6.921.141,12",8,"44.171,06","0,00",526,"671,80","0,00",10.455,"30,00","0,00"
"Du, 13 aprilie 2014",15,48,5,8,30,1,REPORT,"493.361,52","6.214.404,12",19,"12.983,19","0,00",673,"366,53","0,00",12.726,"30,00","0,00"
"Jo, 10 aprilie 2014",46,49,13,8,43,47,REPORT,"198.631,80","5.721.042,60",2,"49.657,95","0,00",179,"554,83","0,00",3.803,"30,00","0,00"
"Du, 6 aprilie 2014",14,6,33,11,5,49,REPORT,"417.434,88","5.522.410,80",9,"23.190,82","0,00",653,"319,62","0,00",12.64,"30,00","0,00"
"Jo, 3 aprilie 2014",10,38,5,7,14,45,REPORT,"179.855,52","5.104.975,92",4,"22.481,94","0,00",306,"293,88","0,00",5.636,"30,00","0,00"
"Du, 30 martie 2014",45,33,40,21,35,5,REPORT,"504.887,88","4.925.120,40",4,"63.110,98","0,00",471,"535,97","0,00",8.693,"30,00","0,00"
"Jo, 27 martie 2014",5,23,13,9,2,4,REPORT,"168.967,44","4.420.232,52",12,"7.040,31","0,00",517,"163,41","0,00",7.834,"30,00","0,00"
"Du, 23 martie 2014",23,2,9,18,33,32,REPORT,"408.824,64","4.251.265,08",11,"18.582,93","0,00",734,"278,49","0,00",12.848,"30,00","0,00"
"Jo, 20 martie 2014",31,6,34,4,44,49,REPORT,"212.230,32","3.842.440,44",5,"21.223,03","0,00",166,"639,24","0,00",3.502,"30,00","0,00"
"Du, 16 martie 2014",36,8,22,31,44,12,REPORT,"454.041,36","3.630.210,12",18,"12.612,26","0,00",658,"345,01","0,00",11.386,"30,00","0,00"
"Jo, 13 martie 2014",1,46,25,27,17,36,REPORT,"180.142,68","3.176.168,76",5,"18.014,26","0,00",263,"342,47","0,00",4.607,"30,00","0,00"
"Du, 9 martie 2014",44,11,22,5,15,47,REPORT,"403.943,76","2.996.026,08",11,"18.361,08","0,00",545,"370,59","0,00",10.762,"30,00","0,00"
"Jo, 6 martie 2014",45,36,11,44,42,16,REPORT,"189.622,68","2.592.082,32",2,"47.405,67","0,00",151,"627,88","0,00",3.375,"30,00","0,00"
"Du, 2 martie 2014",24,21,13,37,39,6,REPORT,"454.805,00","2.402.459,64",9,"25.266,94","0,00",770,"295,32","0,00",13.533,"30,00","0,00"
"Jo, 27 februarie 2014",30,34,38,4,6,27,REPORT,"195.159,72","1.847.654,64",4,"24.394,96","0,00",236,"413,47","0,00",4.385,"30,00","0,00"
"Du, 23 februarie 2014",44,16,27,33,31,11,REPORT,"414.211,56","1.652.494,92",16,"12.944,11","0,00",642,"322,59","0,00",11.145,"30,00","0,00"
"Jo, 20 februarie 2014",10,12,3,48,36,4,REPORT,"178.267,20","1.238.283,36",10,"8.913,36","0,00",291,"306,30","0,00",5.208,"30,00","0,00"
"Du, 16 februarie 2014",4,49,29,23,31,1,REPORT,"455.209,20","1.060.016,16",7,"32.514,94","0,00",520,"437,70","0,00",9.766,"30,00","0,00"
"Jo, 13 februarie 2014",48,14,12,1,17,23,REPORT,"163.991,16","604.806,96",2,"40.997,79","0,00",259,"316,58","0,00",4.371,"30,00","0,00"
"Du, 9 februarie 2014",1,9,17,20,22,49,REPORT,"320.083,68","440.815,80",6,"26.673,64","0,00",553,"289,40","0,00",9.612,"30,00","0,00"
"Jo, 6 februarie 2014",2,14,12,3,25,17,REPORT,"120.732,12","120.732,12",8,"7.545,75","0,00",242,"249,44","0,00",4.575,"30,00","0,00"
"Du, 2 februarie 2014",13,37,25,12,30,46,1,"3.453.678,77","0,00",9,"21.476,58","0,00",597,"323,76","0,00",10.773,"30,00","0,00"
"Jo, 30 ianuarie 2014",6,37,29,32,18,42,REPORT,"216.246,40","3.067.100,33",4,"27.030,80","0,00",202,"535,26","0,00",3.739,"30,00","0,00"
"Du, 26 ianuarie 2014",29,38,6,25,8,34,REPORT,"409.577,42","2.850.853,93",11,"18.617,15","0,00",527,"388,59","0,00",9.74,"30,00","0,00"
"Jo, 23 ianuarie 2014",28,29,18,4,17,16,REPORT,"229.277,47","2.441.276,51",5,"22.927,74","0,00",232,"494,13","0,00",4.866,"30,00","0,00"
"Du, 19 ianuarie 2014",34,29,48,30,4,27,REPORT,"569.703,74","2.211.999,04",8,"35.606,48","0,00",493,"577,79","0,00",9.66,"30,00","0,00"
"Jo, 16 ianuarie 2014",1,45,43,48,9,21,REPORT,"258.406,10","1.642.295,30",1,"129.203,05","0,00",159,"812,59","0,00",3.611,"30,00","0,00"
"Du, 12 ianuarie 2014",43,24,39,4,32,7,REPORT,"474.910,41","1.383.889,20",12,"19.787,93","0,00",497,"477,77","0,00",9.528,"30,00","0,00"
"Jo, 9 ianuarie 2014",2,33,26,24,12,16,REPORT,"180.787,15","908.978,79",9,"10.043,73","0,00",294,"307,46","0,00",5.296,"30,00","0,00"
"Du, 5 ianuarie 2014",33,45,25,10,4,48,REPORT,"528.191,64","728.191,64",12,"22.007,98","0,00",651,"405,67","0,00",11.029,"30,00","0,00"
"Lu, 30 decembrie 2013",11,34,30,3,9,5,1,"1.899.025,00","0,00",20,"18.196,50","0,00",1.343,"270,98","0,00",20.177,"30,00","0,00"
"Lu, 30 decembrie 2013",28,21,17,23,4,48,REPORT,"771.165,00","871.165,00",13,"29.660,19","0,00",980,"393,45","0,00",17.29,"30,00","0,00"
"Du, 22 decembrie 2013",3,45,22,48,10,13,1,"3.014.025,73","0,00",15,"18.104,34","0,00",704,"385,74","0,00",12.795,"30,00","0,00"
"Jo, 19 decembrie 2013",12,10,1,3,47,35,REPORT,"239.172,76","2.470.895,39",3,"39.862,12","0,00",258,"463,51","0,00",5.106,"30,00","0,00"
"Du, 15 decembrie 2013",8,34,9,35,18,40,REPORT,"526.723,51","2.231.722,63",5,"52.672,35","0,00",335,"786,15","0,00",7.761,"30,00","0,00"
"Jo, 12 decembrie 2013",17,32,49,37,35,41,REPORT,"224.330,85","1.704.999,12",4,"28.041,35","0,00",156,"719,00","0,00",3.545,"30,00","0,00"
"Du, 8 decembrie 2013",32,40,22,14,9,18,REPORT,"437.581,17","1.480.668,27",6,"36.465,09","0,00",478,"457,72","0,00",8.967,"30,00","0,00"
"Jo, 5 decembrie 2013",46,6,20,45,32,24,REPORT,"193.673,54","1.043.087,10",4,"24.209,19","0,00",166,"583,35","0,00",3.445,"30,00","0,00"
"Du, 1 decembrie 2013",26,48,8,2,39,25,REPORT,"399.413,56","849.413,56",7,"28.529,54","0,00",402,"496,78","0,00",7.732,"30,00","0,00"
